"","Exp_IDs","ID_IDs","combi","Light","Stage","Age","Spec","Rep","sws1","sws2b","sws2a","EF1A","GAPDH","G_mean","relsws1","relsws2b","relsws2a","day"
"71","PRN397","WR-E20-NIC06","WR-E20-NIC","WR","E",20,"NIC",6,23.6547530174285,23.2635519254542,26.3275956945508,22.8292057614115,22.49908744207,22.663545544751,0.50306,0.65975,0.07889,0
"72","PRN398","WR-E21-NIC06","WR-E21-NIC","WR","E",21,"NIC",6,26.2366954899275,23.1844429484716,23.092449068713,21.544276672554,20.1671609429087,20.844349235559,0.02381,0.1975,0.2105,1
"73","PRN399","WR-E22-NIC06","WR-E22-NIC","WR","E",22,"NIC",6,32.2355019572951,31.256064971307,26.2992967858041,23.838637006183,22.7594009947211,23.2927692383563,0.00203,0.00401,0.12444,2
"74","PRN400","WR-E23-NIC06","WR-E23-NIC","WR","E",23,"NIC",6,29.4178319849302,30.6150621764788,24.1749774974122,20.3597221909866,20.2908077185417,20.3252357472241,0.00183,8e-04,0.06936,3
"75","PRN401","WR-E24-NIC06","WR-E24-NIC","WR","E",24,"NIC",6,30.4403953931653,28.1055535164293,22.1955112173727,21.2412886543672,20.8072688006856,21.0231587232836,0.00146,0.00738,0.4437,4
"76","PRN407","WR-E30-NIC06","WR-E30-NIC","WR","E",30,"NIC",6,31.11833547407,30.579116269705,23.1982448203346,24.4494454343652,22.0800544717036,23.2345666409712,0.00423,0.00615,1.0255,10
"77","PRN41","RW-L38-NIC02","RW-L38-NIC","RW","L",38,"NIC",2,29.061890775,24.31578953,26.165573145,19.3632495494299,18.9739197283257,19.1675961620236,0.00105,0.0282,0.00782,3
"78","PRN49","RR-E24-NIC01","RR-E24-NIC","RR","E",24,"NIC",1,28.5865852028694,27.7691760473448,21.8063359357118,22.6533282786057,21.6590201140297,22.1505957670677,0.01155,0.02035,1.2695,4
"79","PRN5","WW-L39-NIC01","WW-L39-NIC","WW","L",39,"NIC",1,22.0866935784265,26.71192736,27.1442728,18.5615908777642,18.475685995009,18.5185886240122,0.08431,0.00342,0.00253,4
"80","PRN61","RR-L39-NIC01","RR-L39-NIC","RR","L",39,"NIC",1,28.1991774586239,27.7000074702544,20.9196683076797,21.6049206546983,20.8619528069637,21.2301868832215,0.00798,0.01128,1.24015,4
"81","PRN68","WW-L45-NIC01","WW-L45-NIC","WW","L",45,"NIC",1,23.11170855,23.362328205,25.825489155,19.8353636376241,19.0658317377938,19.4467916524267,0.07884,0.06627,0.01202,10
"82","PRN80","RW-L37-NIC01","RW-L37-NIC","RW","L",37,"NIC",1,27.6789092369829,26.4689725978946,24.5954395034891,22.274120103932,21.6581057041334,21.9639533708648,0.01904,0.04404,0.16138,2
"83","PRN9","WR-L35-NIC02","WR-L35-NIC","WR","L",35,"NIC",2,22.7870141992758,23.0920329335787,24.3172677834614,21.7583255227529,21.168201000417,21.461235008688,0.39893,0.32291,0.13812,0
"84","PRN93","WW-L39-NIC02","WW-L39-NIC","WW","L",39,"NIC",2,21.0310802032877,21.4339686922143,22.509861520862,18.1467168916505,17.9545820649736,18.0503938361738,0.12668,0.09582,0.04545,4
