"","Group","Pl_rate","Pl_rate_se","Pl_cap","Pl_cap_se","lake","age","change"
"1","Nic_E_RW",0.250650318066497,0.0605600963460295,63.6790955212941,5.77840083393564,"Nic","E","RW"
"2","Nic_E_WR",0.711665595731406,0.132260548026734,-79.8922882150634,6.68481768457139,"Nic","E","WR"
"3","Nic_L_RW",-0.615041584910007,1.3856554886846,0.00213544730759452,0.0380150236139965,"Nic","L","RW"
"4","Nic_L_WR",1.75772989447485,0.604681620369403,-63.7640000623229,6.8394168377068,"Nic","L","WR"
"5","Xil_E_RW",0.333956666697094,0.0692527896390341,66.8366823142995,5.91985944314818,"Xil","E","RW"
"6","Xil_E_WR",0.788662625208206,0.123891327746716,-92.7685057175762,6.6638950638445,"Xil","E","WR"
"7","Xil_L_RW",0.415890057017466,0.0745741008573373,71.229320836211,6.09663095357634,"Xil","L","RW"
"8","Xil_L_WR",0.509126579686581,0.0921992223282024,-74.4679611133403,6.34399630866037,"Xil","L","WR"
